id,name,common_name
519,Ciconia ciconia,White stork
520,Mycteria americana,Wood stork
521,Mycteria ibis,Yellow-billed stork
522,Sialia mexicana,Western bluebird
523,Ephippiorhynchus senegalensis,Saddle-billed stork
524,Cathartes aura,Turkey vulture
525,Myadestes townsendi,Townsend's solitaire
526,Cathartes burrovianus,Lesser yellow-headed vulture
527,Sarcoramphus papa,King vulture
528,Coragyps atratus,Black vulture
529,Strix nebulosa,Great grey owl
530,Anastomus lamelligerus,African openbill
531,Pluvialis squatarola,Grey plover
532,Gymnogyps californianus,California condor
533,Muscicapa striata,Spotted flycatcher
534,Charadrius vociferus,Killdeer
535,Charadrius wilsonia,Wilson's plover
536,Charadrius melodus,Piping plover
537,Phoenicurus phoenicurus,Common redstart
538,Phoenicurus ochruros,Black redstart
539,Charadrius dubius,Little ringed plover
540,Eumomota superciliosa,Turquoise-browed motmot
541,Anas querquedula,Garganey
542,Himantopus mexicanus,Black-necked stilt
543,Haematopus bachmani,Black oystercatcher
544,Pica pica,Eurasian magpie
545,Haematopus ostralegus,Eurasian oystercatcher
546,Haematopus unicolor,Variable oystercatcher
547,Vanellus vanellus,Northern lapwing
548,Vanellus spinosus,Spur-winged lapwing
549,Vanellus armatus,Blacksmith lapwing
550,Luscinia svecica,Bluethroat
551,Columbina inca,Inca dove
552,Recurvirostra avosetta,Pied avocet
553,Phasianus colchicus,Common pheasant
554,Pluvialis dominica,American golden plover
555,Cinclus mexicanus,American dipper
556,Erithacus rubecula,European robin
557,Melanerpes aurifrons,Golden-fronted woodpecker
558,Charadrius hiaticula,Common ringed plover
559,Egretta gularis,Western reef heron
560,Egretta caerulea,Little blue heron
561,Egretta tricolor,Tricolored heron
562,Egretta thula,Snowy egret
563,Egretta garzetta,Little egret
564,Egretta sacra,Pacific reef heron
565,Monticola solitarius,Blue rock thrush
566,Ardea cocoi,Cocoi heron
567,Ardea cinerea,Grey heron
568,Ardea herodias,Great blue heron
569,Nycticorax nycticorax,Black-crowned night heron
570,Turdus rufopalliatus,Rufous-backed thrush
571,Ardeola ralloides,Squacco heron
572,Nyctanassa violacea,Yellow-crowned night heron
573,Aramides cajaneus,Grey-cowled wood rail
574,Bubulcus ibis,Cattle egret
575,Butorides virescens,Green heron
576,Porphyrio martinicus,American purple gallinule
577,Botaurus lentiginosus,American bittern
578,Cochlearius cochlearius,Boat-billed heron
579,Anhinga novaehollandiae,Australasian darter
580,Anhinga rufa,African darter
581,Melozone fusca,Canyon towhee
582,Aquila chrysaetos,Golden eagle
583,Hylocichla mustelina,Wood thrush
584,Aphelocoma wollweberi,Mexican jay
585,Accipiter striatus,Sharp-shinned hawk
586,Accipiter nisus,Eurasian sparrowhawk
587,Accipiter gentilis,Northern goshawk
588,Egretta rufescens,Reddish egret
589,Bucephala clangula,Common goldeneye
590,Anous stolidus,Brown noddy
591,Actitis macularius,Spotted sandpiper
592,Ardea purpurea,Purple heron
593,Todiramphus chloris,Collared kingfisher
594,Grus americana,Whooping crane
595,Himantopus himantopus,Black-winged stilt
596,Glaucidium gnoma,Mountain pygmy owl
597,Circus approximans,Swamp harrier
598,Circus aeruginosus,Western marsh harrier
599,Phalacrocorax sulcirostris,Little black cormorant
